has_1_20_1_forge,new_file_id,new_name,new_url,new_version,old_file_id,old_name,project_id,slug,title,url
true,8228409,AdvancedPeripherals-1.20.1-0.7.48r.jar,https://www.curseforge.com/minecraft/mc-mods/advanced-peripherals/files/8228409,1.20.1,4562223,AdvancedPeripherals-1.18.2-0.7.30r.jar,431725,,Advanced Peripherals,https://www.curseforge.com/minecraft/mc-mods/advanced-peripherals
true,5729105,cloth-config-11.1.136-forge.jar,https://www.curseforge.com/minecraft/mc-mods/cloth-config/files/5729105,1.20.1,4633387,cloth-config-6.5.102-forge.jar,348521,,Cloth Config API (Fabric/Forge/NeoForge),https://www.curseforge.com/minecraft/mc-mods/cloth-config
true,7178761,create-1.20.1-6.0.8.jar,https://www.curseforge.com/minecraft/mc-mods/create/files/7178761,1.20.1,4625533,create-1.18.2-0.5.1.c.jar,328085,,Create,https://www.curseforge.com/minecraft/mc-mods/create
true,5233493,miniutilities-4.1.0.jar,https://www.curseforge.com/minecraft/mc-mods/miniutilities/files/5233493,1.20.2,4558635,miniutilities-2.0.1.jar,460341,,Mini Utilities,https://www.curseforge.com/minecraft/mc-mods/miniutilities
true,5503481,PackMenu-1.20.1-6.1.2.jar,https://www.curseforge.com/minecraft/mc-mods/packmenu/files/5503481,1.20.1,4050356,PackMenu-1.18.2-4.1.4.jar,358191,,PackMenu,https://www.curseforge.com/minecraft/mc-mods/packmenu
true,7612607,EnchantmentDescriptions-Forge-1.20.1-17.1.21.jar,https://www.curseforge.com/minecraft/mc-mods/enchantment-descriptions/files/7612607,1.20.1,4277221,EnchantmentDescriptions-Forge-1.18.2-10.0.12.jar,250419,,Enchantment Descriptions,https://www.curseforge.com/minecraft/mc-mods/enchantment-descriptions
true,4761099,ClickMachine-1.20.1-8.0.2.jar,https://www.curseforge.com/minecraft/mc-mods/click-machine/files/4761099,1.20.1,3739497,ClickMachine-1.18.2-6.0.5.jar,298275,,Click Machine,https://www.curseforge.com/minecraft/mc-mods/click-machine
false,,,,,3807867,SuperCircuitMaker2-0.2.9+1.18.2.jar,248619,,Super Circuit Maker,https://www.curseforge.com/minecraft/mc-mods/super-circuit-maker
false,,,,,4112663,engineersdecor-1.18.2-1.1.28.jar,313866,,Engineer's Decor,https://www.curseforge.com/minecraft/mc-mods/engineers-decor
true,6552914,MekanismGenerators-1.20.1-10.4.16.80.jar,https://www.curseforge.com/minecraft/mc-mods/mekanism-generators/files/6552914,1.20.1,3875978,MekanismGenerators-1.18.2-10.2.5.465.jar,268566,,Mekanism Generators,https://www.curseforge.com/minecraft/mc-mods/mekanism-generators
false,,,,,3642382,AutoRegLib-1.7-53.jar,250363,,AutoRegLib,https://www.curseforge.com/minecraft/mc-mods/autoreglib
true,5104156,cabletiers-1.20.1-1.2.2.jar,https://www.curseforge.com/minecraft/mc-mods/cable-tiers/files/5104156,1.20.1,3922627,cabletiers-1.18.2-0.547.jar,454382,,Cable Tiers,https://www.curseforge.com/minecraft/mc-mods/cable-tiers
false,,,,,3759881,shutupexperimentalsettings-1.0.5.jar,407174,,Shutup Experimental Settings!,https://www.curseforge.com/minecraft/mc-mods/shutup-experimental-settings
true,6450982,polymorph-forge-0.49.10+1.20.1.jar,https://www.curseforge.com/minecraft/mc-mods/polymorph/files/6450982,1.20.1,4632727,polymorph-forge-1.18.2-0.49.jar,388800,,Polymorph (Fabric/Forge/Quilt),https://www.curseforge.com/minecraft/mc-mods/polymorph
true,7099725,gravestone-forge-1.20.1-1.0.35.jar,https://www.curseforge.com/minecraft/mc-mods/gravestone-mod/files/7099725,1.20.1,3694403,gravestone-1.18.2-1.0.1.jar,238551,,GraveStone Mod,https://www.curseforge.com/minecraft/mc-mods/gravestone-mod
true,8434160,sophisticatedbackpacks-1.20.1-3.24.60.1982.jar,https://www.curseforge.com/minecraft/mc-mods/sophisticated-backpacks/files/8434160,1.20.1,4637292,sophisticatedbackpacks-1.18.2-3.18.57.888.jar,422301,,Sophisticated Backpacks,https://www.curseforge.com/minecraft/mc-mods/sophisticated-backpacks
true,6274231,Placebo-1.20.1-8.6.3.jar,https://www.curseforge.com/minecraft/mc-mods/placebo/files/6274231,1.20.1,4500363,Placebo-1.18.2-6.6.7.jar,283644,,Placebo,https://www.curseforge.com/minecraft/mc-mods/placebo
true,5338457,MouseTweaks-forge-mc1.20.1-2.25.1.jar,https://www.curseforge.com/minecraft/mc-mods/mouse-tweaks/files/5338457,1.20.1,3578801,MouseTweaks-forge-mc1.18-2.21.jar,60089,,Mouse Tweaks,https://www.curseforge.com/minecraft/mc-mods/mouse-tweaks
false,,,,,3779951,create-chromaticreturn1.18.2_v1.1.jar,618195,,Create: Supercharged,https://www.curseforge.com/minecraft/mc-mods/create-chromatic-return
