dependencies,display_names,file,loader_range,mc_ranges,mod_ids,sha1,versions
"forge@[40,);minecraft@[1.18.2,);architectury@[4.6.77,);cloth_config@[6.2.62,7.0)",Simple Discord Rich Presence,SimpleDiscordRichPresence-forge-3.0.4-build.28+mc1.18.2.jar,"[40,)","[1.18.2,)",sdrp;forge;minecraft;architectury;cloth_config,ffa000d6fc116c7e2baee1aefc5f5a6abfe79d22,3.0.4-build.28+mc1.18.2
,Skyblock Builder,SkyblockBuilder-1.18.2-3.3.25.jar,"[40,)",,skyblockbuilder,0c41bcf57e25893aa08a284e60861abbae0e8dc6,${file.jarVersion}
,StorageDrawers-1.18,StorageDrawers-1.18.2-10.2.1.jar,"[38,)",,,2330bba44124f5481d34b02fb528815b97d3e357,1.18.2-10.2.1
"forge@[37,);minecraft@[1.18.1,1.19);tklib@[0.0.10,1.0.0)",Super Circuit Maker,SuperCircuitMaker2-0.2.9+1.18.2.jar,"[37,)","[1.18.1,1.19)",supercircuitmaker;forge;minecraft;tklib,6a5265e024852b2f66db7962633c8e879e8f7634,${file.jarVersion}
,TKLib,TKLib-0.0.23+1.18.2.jar,"[37,)",,tklib,78e9181177e130f84035ace39e607907613d43ee,${file.jarVersion}
,Toast Control,ToastControl-1.18.2-6.0.3.jar,"[32,)",,toastcontrol,8ed3eb63f8c34b5f7c10b216cf8b55d4c32a09ed,6.0.3
,XNet Gases,XNetGases-1.18.2-3.0.1.jar,"[36,)",,xnetgases,f62201d1e136cf4cb95d0b93cfe62332c2749695,${file.jarVersion}
,Affinity Enchantment,affinity-1.18.2-0.0.3.jar,"[40,)",,affinity,9a0cb7ff101e1c3302174ecb182e921f6fe31d49,1.19.2-0.0.3
,AppleSkin,appleskin-forge-mc1.18.2-2.4.1.jar,"[40,)",,appleskin,6fa3d2485e3a7b416470ad5a3c708f1ce366195c,${file.jarVersion}
,Applied Energistics 2,appliedenergistics2-forge-11.7.4.jar,"[32,)",,ae2,5b491af58c1682d4196be3de9abac20187c97ecb,11.7.4
"minecraft@[1.18.2,);forge@[40.1.14,)",Architectury,architectury-4.11.93-forge.jar,"[40,)","[1.18.2,)",architectury;minecraft;forge,745f674393a9d5827ee92fcd5c6c350c9aeeed97,4.11.93
,Balm,balm-3.2.6.jar,"[40,)",,balm,a0be48540d7d9661db8db54cbc96a94b59793fcb,${file.jarVersion}
"forge@[40,)",Building Gadgets,buildinggadgets-3.13.2-build.21+mc1.18.2.jar,"[40,)",,buildinggadgets;forge,e8f9e67ea6fd758131aa7e89b30d1b4dd2d3a67c,${file.jarVersion}
,Cable Tiers,cabletiers-1.18.2-0.547.jar,"[39,)",,cabletiers,033f19c3573b855dfaca8ae427ad025c3b94bbb3,${file.jarVersion}
,Tschipp_CarryOn_1.18,carryon-1.18.2-1.17.1.12.jar,"[40,)",,,3873b6f842c36af75bc29d448f65df9a03c1a9da,1.17.1.12
,CC: Tweaked,cc-tweaked-1.18.2-1.101.3.jar,"[40,41)",,computercraft,adff61eb404115b074e4f32c91ca20af9c2eff1d,1.101.3
"forge@[40,);minecraft@[1.18,);ctm@[0,)",Chipped,chipped-forge-1.18.2-2.0.1.jar,"[40,)","[1.18,)",chipped;forge;minecraft;ctm,9ee8bc9cf7a95a48447b4f116ed71232610b2d0b,2.0.1
,Cloth Config v4 API,cloth-config-6.5.102-forge.jar,"[34,)",,cloth_config,9e4f45433e80eeeb634cac50549619f183f6b3a8,6.5.102
"minecraft@[1.18.2,);forge@[40.1.76,)",CoFH Core,cofh_core-1.18.2-9.2.1.39.jar,"[40,)","[1.18.2,)",cofh_core;minecraft;forge,4a6303c1c0b2162210f7117f562815c6f33ef780,9.2.1
,Comforts,comforts-forge-1.18.2-5.0.0.6.jar,"[38,)",,comforts,738aa237f6b8e82a5b4ad8af9d9e371fbd25eb08,1.18.2-5.0.0.6
,Compact Machines,compactmachines-4.5.0.jar,"[40,)",,,ade4d96f9a6e6718dfee9d3e427a0dfbc68b0229,4.5.0
,Configured,configured-2.0.1-1.18.2.jar,"[40,)",,configured,825e0e439de2bfabf5d088953eb49c1c04e3e531,2.0.1
,Construction Wand,constructionwand-1.18.2-2.9.jar,"[40,)",,constructionwand,a65a82775dd9fbddfb6239d0a5c0b7a0eb7a0c11,${file.jarVersion}
"forge@[40,);minecraft@[1.18,1.19);balm@[3.2.0,)",CookingForBlockheads,cookingforblockheads-forge-1.18.2-12.2.0.jar,"[40,)","[1.18,1.19)",cookingforblockheads;forge;minecraft;balm,a05f0b1d035b3715a7d75a62a907234ef6d3464e,${file.jarVersion}
,Crafting Station,craftingstation-1.18.2-5.0.1.jar,"[25,)",,craftingstation,bfbb3162662bb5efeb4c0a480f0dae6f33b2f0ed,${file.jarVersion}
,Create,create-1.18.2-0.5.1.c.jar,"[40,)",,create,97faf28babb2f1ac0f4115a541cb68cc8e7fbf86,${file.jarVersion}
,Create: Chromatic Return,create-chromaticreturn1.18.2_v1.1.jar,"[40,)",,createchromaticreturn,d95468d97792fe5834e4509815ad466813de54e2,1.0.0
,Create Crafts & Additions,createaddition-1.18.2-1.0.0.jar,"[40,)",,createaddition,8f085f69db71149b980df8fcbfc97d81b28cd52d,${file.jarVersion}
,Create Ender Transmission,createendertransmission-2.0.4-1.18.2.jar,"[40,)",,createendertransmission,b4f1d62f4632e0ab84c0f81851f8902343095808,
,Creative Crafter,creativecrafter-1.18.2-1.0.jar,"[40,)",,creativecrafter,7594e3c10a6a99f964a85c9eba279a6db1319f8c,${file.jarVersion}
,Curios API,curios-forge-1.18.2-5.0.9.1.jar,"[40,)",,curios,e4e5d1323e474e2fff0c9419d9d5e1aa71f877ca,${file.jarVersion}
,Dank Storage,dankstorage-1.18.2-4.1.4.jar,"[25,)",,dankstorage,72d66ba09871fa9cd9a11e1031bbd243320a282b,${file.jarVersion}
,Elevator Mod,elevatorid-1.18.2-1.8.4.jar,"[40,)",,elevatorid,c32376d6741c1f8ec4ed637bb55e070c3ad3200e,${file.jarVersion}
,Engineer,engineersdecor-1.18.2-1.1.28.jar,"[39,)",,engineersdecor,d599ea997588232db4e0e18406916a310bcffc90,${file.jarVersion}
,Extreme Sound Muffler,extremesoundmuffler-3.30_forge-1.18.2.jar,"[34,)",,extremesoundmuffler,89d208986e891550e2bade5eab3b8bd628e100f0,${file.jarVersion}
,Forgiving Void,forgivingvoid-forge-1.18.1-6.0.1.jar,"[38,)",,forgivingvoid,463e185639880428d6b2bdf0ee0815cf3b11e42d,${file.jarVersion}
,Framed Compacting Drawers,framedcompactdrawers-1.18-4.1.0.jar,"[40,)",,framedcompactdrawers,ad4535f25bf512ef42e2b0f306b5d9e3f08c69ca,${file.jarVersion}
"forge@[40.1.67,);minecraft@[1.18.2,);architectury@[4.11.89,);ftblibrary@[1802.3.8-build.161,);ftbteams@[1802.2.10-build.90,);ftbranks@[1802.1.9-build.49,);kubejs@[1802.5.5-build.550,)",FTB Chunks,ftb-chunks-forge-1802.3.17-build.265.jar,"[40,)","[1.18.2,)",ftbchunks;forge;minecraft;architectury;ftblibrary;ftbteams;ftbranks;kubejs,3b55d6a394a1b60358adc3a80763a544d15f0ba5,1802.3.17-build.265
"forge@[39,);minecraft@[1.18.2,);architectury@[3.1.45,)",FTB Library,ftb-library-forge-1802.3.11-build.177.jar,"[39,)","[1.18.2,)",ftblibrary;forge;minecraft;architectury,5fe454cf0ed17b05f0f18c4984d31f20cbb4b23b,1802.3.11-build.177
"forge@[39,);minecraft@[1.18.2,);architectury@[3.2.52,);ftblibrary@[1802.3.9-build.165,);ftbteams@[1801.2.4-build.43,);itemfilters@[1802.2.8-build.47,);kubejs@[1802.5.5,);jei@[9.7.0,)",FTB Quests,ftb-quests-forge-1802.3.14-build.191.jar,"[39,)","[1.18.2,)",ftbquests;forge;minecraft;architectury;ftblibrary;ftbteams;itemfilters;kubejs;jei,885a28c4a960e6a6a9622f7b14f95b1c8311efb1,1802.3.14-build.191
"forge@[40.1.0,);minecraft@[1.18.2,);architectury@[3.2.52,);ftblibrary@[1801.3.5-build.98,)",FTB Teams,ftb-teams-forge-1802.2.11-build.107.jar,"[39,)","[1.18.2,)",ftbteams;forge;minecraft;architectury;ftblibrary,d5878dcd3609542c729b2c2293e7f65f7a58c5f6,1802.2.11-build.107
"forge@[39,);minecraft@[1.18.2,);architectury@[3.2.52,);ftblibrary@[1801.3.5-build.99,)",FTB Ultimine,ftb-ultimine-forge-1802.3.3-build.70.jar,"[39,)","[1.18.2,)",ftbultimine;forge;minecraft;architectury;ftblibrary,bb78506165481bf964c5bdb0590cd14e5e4a1cc3,1802.3.3-build.70
"forge@[38,);minecraft@[1.18,);architectury@[3.3.7,)",FTB Backups 2,ftbbackups2-forge-1.18.2-1.0.19.jar,"[38,)","[1.18,)",ftbbackups2;forge;minecraft;architectury,7e1557903f8dc0edb044fe95a6940a64ccb97d31,1.0.19
,FTB Quests Localizer,ftbquestlocalizer-1.18.2-forge-3.2.3.jar,"[40,)",,ftbquestlocalizer,271afd9e09f1b4f6ce6c9b6bc24974e48255b3c2,3.2.3
,Fusion,fusion-1.0.5-forge-mc1.18.jar,"[40,)",,fusion,04d22eb06337d45a8ced07f2eb0c171924d55794,1.0.5
,Gravestone Mod,gravestone-1.18.2-1.0.1.jar,"[40,)",,gravestone,147bd13c2d49c5c50464767dcb16833262eae4ee,1.18.2-1.0.1
"titanium@[3.5.8,);forge@[37.0.1,);jei@[9.7.0,)",Industrial Foregoing,industrial-foregoing-1.18.2-3.3.1.6-10.jar,"[37,)",,industrialforegoing;titanium;forge;jei,f4909c17d370922d4a4af5a286b82c69d501ff4d,${file.jarVersion}
,ironchest,ironchest-1.18.2-13.2.11.jar,"[40.0,)",,,cff2b97673a833704d8f28ea46dbc8d6eaac92a3,1.18.2-13.2.11
"forge@[39,);minecraft@[1.18.1,);architectury@[3.2.52,)",Item Filters,item-filters-forge-1802.2.8-build.50.jar,"[39,)","[1.18.1,)",itemfilters;forge;minecraft;architectury,508eb1f51f4941b2743d930836d35794783bf0b0,1802.2.8-build.50
,Item Collectors,itemcollectors-1.1.8-forge-mc1.18.jar,"[38,)",,itemcollectors,8ee8b64f70c8c74143e71f68bc349b13c7a6605c,1.1.8
